", shape ",,,,,,,,,,,,,
Plate Type: Standard Curve,,,,,,,,,,,,,
User: pcr,,,,,,,,,,,,,
,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,
,,,,,,,,,,,,,
Operator: pcr,,,,,,,,,,,,,
Run Date: Monday, April 16, 2018 19:33:58,,,,,,,,,,,
Last Modified: Monday, April 16, 2018 21:31:31,,,,,,,,,,,
Instrument Type: Applied Biosystems 7300 Real-Time PCR System,,,,,,,,,,,,,
,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,
SDS v1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,
1,1,50.0 ¡C,00:30,Auto,,,,,,,,,
2,40,95.0 ¡C,00:15,Auto,,,,,,,,,
,,60.0 ¡C,01:00,Auto,,,,,,,,,
3 (Dissociation),1,95.0 ¡C,00:15,Auto,,,,,,,,,
,,60.0 ¡C,01:00,Auto,,,,,,,,,
,,95.0 ¡C,00:15,Auto,,,,,,,,,
,,60.0 ¡C,00:15,Auto,,,,,,,,,
Standard 7300 Mode,,,,,,,,,,,,,
Data Collection :  Stage 2 Step 2,,,,,,,,,,,,,
PCR Volume: 50 µL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm,Rn,User Defined #2,User Defined #3
A1,RNAi1-1,18S,Unknown,15.2104,5.84,,,,,85.6,,,
A2,RNAi1-2,18S,Unknown,15.2286,5.84,,,,,85.6,,,
A3,RNAi1-3,18S,Unknown,15.4853,5.84,,,,,85.6,,,
A4,RNAi2-1,18S,Unknown,15.3587,5.84,,,,,85.6,,,
A5,RNAi2-2,18S,Unknown,15.2092,5.84,,,,,85.6,,,
A6,RNAi2-3,18S,Unknown,15.1074,5.84,,,,,85.6,,,
A7,Control-1,18S,Unknown,18.0093,5.84,,,,,85.6,,,
A8,Control-2,18S,Unknown,17.261,5.84,,,,,85.6,,,
A9,Control-3,18S,Unknown,17.4424,5.84,,,,,85.6,,,
A10,,18S,Unknown,10.375,,,,,,80,,,
A11,,18S,Unknown,Undetermined,,,,,,88.8,,,
A12,,18S,Unknown,Undetermined,,,,,,88.8,,,
B1,RNAi1-1,18S,Unknown,15.4343,5.84,,,,,85.6,,,
B2,RNAi1-2,18S,Unknown,15.2661,5.84,,,,,85.9,,,
B3,RNAi1-3,18S,Unknown,15.3171,5.84,,,,,85.9,,,
B4,RNAi2-1,18S,Unknown,15.319,5.84,,,,,85.9,,,
B5,RNAi2-2,18S,Unknown,15.1371,5.84,,,,,85.9,,,
B6,RNAi2-3,18S,Unknown,15.1738,5.84,,,,,85.9,,,
B7,Control-1,18S,Unknown,17.8956,5.84,,,,,85.9,,,
B8,Control-2,18S,Unknown,17.1959,5.84,,,,,85.9,,,
B9,Control-3,18S,Unknown,17.2401,5.84,,,,,85.6,,,
B10,,18S,Unknown,Undetermined,,,,,Noisy BL,,,,
B11,,18S,Unknown,14.838,,,,,,78.9,,,
B12,,18S,Unknown,13.4946,,,,,,79.2,,,
C1,RNAi1-1,18S,Unknown,15.2322,5.84,,,,,85.9,,,
C2,RNAi1-2,18S,Unknown,15.1855,5.84,,,,,85.9,,,
C3,RNAi1-3,18S,Unknown,15.3687,5.84,,,,,85.9,,,
C4,RNAi2-1,18S,Unknown,15.3611,5.84,,,,,85.9,,,
C5,RNAi2-2,18S,Unknown,15.3166,5.84,,,,,85.9,,,
C6,RNAi2-3,18S,Unknown,15.2046,5.84,,,,,85.9,,,
C7,Control-1,18S,Unknown,18.1847,5.84,,,,,85.9,,,
C8,Control-2,18S,Unknown,17.4273,5.84,,,,,85.9,,,
C9,Control-3,18S,Unknown,17.291,5.84,,,,,85.6,,,
C10,,18S,Unknown,Undetermined,,,,,Noisy BL,88.5,,,
C11,,18S,Unknown,6.21772,,,,,,83.9,,,
C12,,18S,Unknown,Undetermined,,,,,,84.5,,,
D1,NTC,18S,Unknown,32.0403,5.84,,,,,74.4,,,
D2,NTC,18S,Unknown,27.3642,5.84,,,,,76.3,,,
D3,NTC,18S,Unknown,28.6826,5.84,,,,,74.4,,,
D4,NTC,18S,Unknown,32.3522,5.84,,,,,76.3,,,
D5,NTC,18S,Unknown,27.8192,5.84,,,,,76.3,,,
D6,NTC,18S,Unknown,Undetermined,5.84,,,,,82.2,,,
D7,NTC,18S,Unknown,29.6299,5.84,,,,,76.5,,,
D8,NTC,18S,Unknown,31.3364,5.84,,,,,75,,,
D9,NTC,18S,Unknown,Undetermined,5.84,,,,Noisy BL,,,,
D10,,18S,Unknown,Undetermined,,,,,Noisy BL,70.7,,,
D11,,18S,Unknown,Undetermined,,,,,,80.3,,,
D12,,18S,Unknown,Undetermined,,,,,Noisy BL,76.5,,,
E1,RNAi1-1,18S,Unknown,22.5414,3.45,,,,,81.4,,,
E2,RNAi1-2,18S,Unknown,22.7052,3.45,,,,,81.7,,,
E3,RNAi1-3,18S,Unknown,22.9786,3.45,,,,,81.7,,,
E4,RNAi2-1,18S,Unknown,26.6213,3.45,,,,,81.7,,,
E5,RNAi2-2,18S,Unknown,26.269,3.45,,,,,81.7,,,
E6,RNAi2-3,18S,Unknown,26.0578,3.45,,,,,81.7,,,
E7,Control-1,18S,Unknown,25.7207,3.45,,,,,81.7,,,
E8,Control-2,18S,Unknown,25.1235,3.45,,,,,81.7,,,
E9,Control-3,18S,Unknown,25.1988,3.45,,,,,81.4,,,
E10,,18S,Unknown,Undetermined,,,,,,78.2,,,
E11,,18S,Unknown,Undetermined,,,,,Noisy BL,78.4,,,
E12,,18S,Unknown,Undetermined,,,,,,75.7,,,
F1,RNAi1-1,18S,Unknown,22.7645,3.45,,,,,81.4,,,
F2,RNAi1-2,18S,Unknown,22.8043,3.45,,,,,81.4,,,
F3,RNAi1-3,18S,Unknown,23.1357,3.45,,,,,81.4,,,
F4,RNAi2-1,18S,Unknown,26.8602,3.45,,,,,81.7,,,
F5,RNAi2-2,18S,Unknown,26.3256,3.45,,,,,81.7,,,
F6,RNAi2-3,18S,Unknown,26.2693,3.45,,,,,81.7,,,
F7,Control-1,18S,Unknown,25.5886,3.45,,,,,81.7,,,
F8,Control-2,18S,Unknown,25.1643,3.45,,,,,81.4,,,
F9,Control-3,18S,Unknown,25.1582,3.45,,,,,81.4,,,
F10,,18S,Unknown,28.97,,,,,,88.5,,,
F11,,18S,Unknown,37.112,,,,,,72.3,,,
F12,,18S,Unknown,Undetermined,,,,,,89.1,,,
G1,RNAi1-1,18S,Unknown,22.7787,3.45,,,,,81.1,,,
G2,RNAi1-2,18S,Unknown,22.8005,3.45,,,,,81.4,,,
G3,RNAi1-3,18S,Unknown,23.1175,3.45,,,,,81.4,,,
G4,RNAi2-1,18S,Unknown,26.5875,3.45,,,,,81.4,,,
G5,RNAi2-2,18S,Unknown,26.2517,3.45,,,,,81.4,,,
G6,RNAi2-3,18S,Unknown,26.0223,3.45,,,,,81.4,,,
G7,Control-1,18S,Unknown,25.2575,3.45,,,,,81.4,,,
G8,Control-2,18S,Unknown,25.1857,3.45,,,,,81.4,,,
G9,Control-3,18S,Unknown,25.1284,3.45,,,,,81.4,,,
G10,,18S,Unknown,Undetermined,,,,,Noisy BL,88.8,,,
G11,,18S,Unknown,Undetermined,,,,,,82.2,,,
G12,,18S,Unknown,Undetermined,,,,,,75.7,,,
H1,NTC,18S,Unknown,28.3319,3.45,,,,,78.2,,,
H2,NTC,18S,Unknown,33,3.45,,,,,72.8,,,
H3,NTC,18S,Unknown,32.1679,3.45,,,,,73.1,,,
H4,NTC,18S,Unknown,31.9729,3.45,,,,,73.1,,,
H5,NTC,18S,Unknown,31.4488,3.45,,,,,78.7,,,
H6,NTC,18S,Unknown,31.3745,3.45,,,,,73.1,,,
H7,NTC,18S,Unknown,31.2716,3.45,,,,,73.1,,,
H8,NTC,18S,Unknown,29.8952,3.45,,,,,78.2,,,
H9,NTC,18S,Unknown,31.5134,3.45,,,,,72.8,,,
H10,,18S,Unknown,14.6003,,,,,,84.5,,,
H11,,18S,Unknown,Undetermined,,,,,,77.6,,,
H12,,18S,Unknown,Undetermined,,,,,,83.1,,,
